,h5_index,Name,URL
0,240,CVPR : IEEE/CVF Conference on Computer Vision and Pattern Recognition,http://cvpr2020.thecvf.com/
1,169,NeurIPS : Neural Information Processing Systems (NIPS),https://nips.cc/Conferences/2020/CallForPapers
2,137,ECCV : European Conference on Computer Vision,https://eccv2020.eu/
3,135,ICML : International Conference on Machine Learning (ICML),https://icml.cc/Conferences/2020
4,129,ICCV : IEEE/CVF International Conference on Computer Vision,http://iccv2021.thecvf.com/home
5,106,ACL : Meeting of the Association for Computational Linguistics (ACL),https://2021.aclweb.org/
6,95,AAAI : AAAI Conference on Artificial Intelligence,https://aaai.org/Conferences/AAAI-21/
7,88,EMNLP : Conference on Empirical Methods in Natural Language Processing (EMNLP),https://2020.emnlp.org/
8,86,SIGKDD : ACM SIGKDD International Conference on Knowledge discovery and data mining,https://www.kdd.org/kdd2020/
9,67,IJCAI : International Joint Conference on Artificial Intelligence (IJCAI),https://ijcai20.org
10,67,SIGMOD : ACM SIGMOD International Conference on Management of Data,https://sigmod2020.org/
11,65,INTERSPEECH : Conference of the International Speech Communication Association (INTERSPEECH),http://www.interspeech2020.org
12,58,IROS : IEEE/RSJ International Conference on Intelligent Robots and Systems,http://www.iros2020.org
13,55,SIGIR : ACM SIGIR Conference on Research and development in information retrieval,https://sigir.org/sigir2020/
14,53,ISIT : IEEE International Symposium on Information Theory,https://2021.ieee-isit.org/
15,52,AISTATS : International Conference on Artificial Intelligence and Statistics,https://www.aistats.org/
16,51,WSDM : ACM International Conference on Web Search and Data Mining,https://www.easychair.org/cfp/WSDM2021
17,48,CIKM : ACM International Conference on Information and Knowledge Management,https://cikm2020.org/call-for-papers-full-and-short-research-papers/
18,48,COLT : Conference on Learning Theory (COLT),http://learningtheory.org/colt2020/
19,46,BMVC : British Machine Vision Conference,https://britishmachinevisionassociation.github.io/bmvc
20,45,ICIP : IEEE International Conference on Image Processing,https://2020.ieeeicip.org/
21,45,RecSys : ACM Conference on Recommender Systems,https://recsys.acm.org/recsys20/
22,45,LREC : International Conference on Language Resources and Evaluation (LREC),https://lrec2020.lrec-conf.org/
23,44,ICDMW : IEEE International Conference on Data Mining Workshop,http://icdm2020.bigke.org/
24,41,COLING : International Conference on Computational Linguistics ,http://coling2020.org/
25,38,ACCV : Asian Conference on Computer Vision (ACCV),http://accv2020.kyoto/
26,38,ICPR : International Conference on Pattern Recognition,https://www.icpr2020.it/
27,36,SDM : SIAM International Conference on Data Mining (SDM),https://www.siam.org/conferences/cm/conference/sdm21
28,36,LAK : International Conference on Learning Analytics And Knowledge,https://www.solaresearch.org/events/lak/lak21/#
29,36,IJCNN : International Joint Conference on Neural Networks,https://wcci2020.org/
