conf_abbr,conference_name,year,name,author_info,article_link,abstract
cvpr,CVPR (Computer Vision),2019,A Theory of Fermat Paths for Non-Line-of-Sight Shape Reconstruction,"Shumian Xin, Carnegie Mellon University|; et al.|Sotiris Nousias, University College London|Kiriakos N. Kutulakos, University of Toronto|Aswin C. Sankaranarayanan, Carnegie Mellon University|Srinivasa G. Narasimhan, Carnegie Mellon University|Ioannis Gkioulekas, Carnegie Mellon University",semanticscholar.org/paper/5809decf0a47a8a6be5c0525cd9f92e1e7d4c75f,"We present a novel theory of Fermat paths of light between a known visible scene and an unknown object not in the line of sight of a transient camera. These light paths either obey specular reflection or are reflected by the object's boundary, and hence encode the shape of the hidden object. We prove that Fermat paths correspond to discontinuities in the transient measurements. We then derive a novel constraint that relates the spatial derivatives of the path lengths at these discontinuities to the surface normal. Based on this theory, we present an algorithm, called Fermat Flow, to estimate the shape of the non-line-of-sight object. Our method allows, for the first time, accurate shape recovery of complex objects, ranging from diffuse to specular, that are hidden around the corner as well as hidden behind a diffuser. Finally, our approach is agnostic to the particular technology used for transient imaging. As such, we demonstrate mm-scale shape recovery from pico-second scale transients using a SPAD and ultrafast laser, as well as micron-scale reconstruction from femto-second scale transients using interferometry. We believe our work is a significant advance over the state-of-the-art in non-line-of-sight imaging."
cvpr,CVPR (Computer Vision),2018,Taskonomy: Disentangling Task Transfer Learning,"Amir R. Zamir, Stanford University|; et al.|Alexander Sax, Stanford University|William Shen, Stanford University|Leonidas Guibas, Stanford University|Jitendra Malik, University of California, Berkeley|Silvio Savarese, Stanford University",https://www.semanticscholar.org/paper/2fe2cfd98e232f1396f01881853ed6b3d5e37d65,"Do visual tasks have a relationship, or are they unrelated? For instance, could having surface normals simplify estimating the depth of an image? Intuition answers these questions positively, implying existence of a structure among visual tasks. Knowing this structure has notable values; it is the concept underlying transfer learning and provides a principled way for identifying redundancies across tasks, e.g., to seamlessly reuse supervision among related tasks or solve many tasks in one system without piling up the complexity. We proposes a fully computational approach for modeling the structure of space of visual tasks. This is done via finding (first and higher-order) transfer learning dependencies across a dictionary of twenty six 2D, 2.5D, 3D, and semantic tasks in a latent space. The product is a computational taxonomic map for task transfer learning. We study the consequences of this structure, e.g. nontrivial emerged relationships, and exploit them to reduce the demand for labeled data. We provide a set of tools for computing and probing this taxonomical structure including a solver users can employ to find supervision policies for their use cases."
cvpr,CVPR (Computer Vision),2017,Densely Connected Convolutional Networks,"Zhuang Liu, Tsinghua University|; et al.|Gao Huang, Cornell University|Laurens van der Maaten, Facebook AI Research|Kilian Q. Weinberger, Cornell University",https://www.semanticscholar.org/paper/5694e46284460a648fe29117cbc55f6c9be3fa3c,"Recent work has shown that convolutional networks can be substantially deeper, more accurate, and efficient to train if they contain shorter connections between layers close to the input and those close to the output. In this paper, we embrace this observation and introduce the Dense Convolutional Network (DenseNet), which connects each layer to every other layer in a feed-forward fashion. Whereas traditional convolutional networks with L layers have L connections&#x2014;one between each layer and its subsequent layer&#x2014;our network has L(L+1)/2 direct connections. For each layer, the feature-maps of all preceding layers are used as inputs, and its own feature-maps are used as inputs into all subsequent layers. DenseNets have several compelling advantages: they alleviate the vanishing-gradient problem, strengthen feature propagation, encourage feature reuse, and substantially reduce the number of parameters. We evaluate our proposed architecture on four highly competitive object recognition benchmark tasks (CIFAR-10, CIFAR-100, SVHN, and ImageNet). DenseNets obtain significant improvements over the state-of-the-art on most of them, whilst requiring less memory and computation to achieve high performance. Code and pre-trained models are available at https://github.com/liuzhuang13/DenseNet."
cvpr,CVPR (Computer Vision),2017,Learning from Simulated and Unsupervised Images through Adversarial Training,"Ashish Shrivastava, Apple Inc.|; et al.|Tomas Pfister, Apple Inc.|Oncel Tuzel, Apple Inc.|Josh Susskind, Apple Inc.|Wenda Wang, Apple Inc.|Russ Webb, Apple Inc.",https://www.semanticscholar.org/paper/68cb9fce1e6af2740377494350b650533c9a29e1,"With recent progress in graphics, it has become more tractable to train models on synthetic images, potentially avoiding the need for expensive annotations. However, learning from synthetic images may not achieve the desired performance due to a gap between synthetic and real image distributions. To reduce this gap, we propose Simulated+Unsupervised (S+U) learning, where the task is to learn a model to improve the realism of a simulators output using unlabeled real data, while preserving the annotation information from the simulator. We develop a method for S+U learning that uses an adversarial network similar to Generative Adversarial Networks (GANs), but with synthetic images as inputs instead of random vectors. We make several key modifications to the standard GAN algorithm to preserve annotations, avoid artifacts, and stabilize training: (i) a self-regularization term, (ii) a local adversarial loss, and (iii) updating the discriminator using a history of refined images. We show that this enables generation of highly realistic images, which we demonstrate both qualitatively and with a user study. We quantitatively evaluate the generated images by training models for gaze estimation and hand pose estimation. We show a significant improvement over using synthetic images, and achieve state-of-the-art results on the MPIIGaze dataset without any labeled real data."
cvpr,CVPR (Computer Vision),2016,Deep Residual Learning for Image Recognition,"Kaiming He, Microsoft Research|; et al.|Xiangyu Zhang, Microsoft Research|Shaoqing Ren, Microsoft Research|Jian Sun, Microsoft Research",https://www.semanticscholar.org/paper/29c808b346526fbb6027e67942b62a40a549f019,"Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize, and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers - 8× deeper than VGG nets [40] but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classification task. We also present analysis on CIFAR-10 with 100 and 1000 layers. The depth of representations is of central importance for many visual recognition tasks. Solely due to our extremely deep representations, we obtain a 28% relative improvement on the COCO object detection dataset. Deep residual nets are foundations of our submissions to ILSVRC & COCO 2015 competitions1, where we also won the 1st places on the tasks of ImageNet detection, ImageNet localization, COCO detection, and COCO segmentation."
cvpr,CVPR (Computer Vision),2015,DynamicFusion: Reconstruction and Tracking of Non-rigid Scenes in Real-Time,"Richard A. Newcombe, University of Washington|; et al.|Dieter Fox, University of Washington|Steven M. Seitz, University of Washington",https://www.semanticscholar.org/paper/e37f2fb8d6e675abbcda3bd09d586b9aaec26486,"We present the first dense SLAM system capable of reconstructing non-rigidly deforming scenes in real-time, by fusing together RGBD scans captured from commodity sensors. Our DynamicFusion approach reconstructs scene geometry whilst simultaneously estimating a dense volumetric 6D motion field that warps the estimated geometry into a live frame. Like KinectFusion, our system produces increasingly denoised, detailed, and complete reconstructions as more measurements are fused, and displays the updated model in real time. Because we do not require a template or other prior scene model, the approach is applicable to a wide range of moving objects and scenes."
cvpr,CVPR (Computer Vision),2014,What Camera Motion Reveals About Shape with Unknown BRDF,"Manmohan Chandraker, NEC Labs America",https://www.semanticscholar.org/paper/230d5bbbce1e5538941393a33154a9aee9b89ca7,"Psychophysical studies show motion cues inform about shape even with unknown reflectance. Recent works in computer vision have considered shape recovery for an object of unknown BRDF using light source or object motions. This paper addresses the remaining problem of determining shape from the (small or differential) motion of the camera, for unknown isotropic BRDFs. Our theory derives a differential stereo relation that relates camera motion to depth of a surface with unknown isotropic BRDF, which generalizes traditional Lambertian assumptions. Under orthographic projection, we show shape may not be constrained in general, but two motions suffice to yield an invariant for several restricted (still unknown) BRDFs exhibited by common materials. For the perspective case, we show that three differential motions suffice to yield surface depth for unknown isotropic BRDF and unknown directional lighting, while additional constraints are obtained with restrictions on BRDF or lighting. The limits imposed by our theory are intrinsic to the shape recovery problem and independent of choice of reconstruction method. We outline with experiments how potential reconstruction methods may exploit our theory. We illustrate trends shared by theories on shape from motion of light, object or camera, relating reconstruction hardness to imaging complexity."
cvpr,CVPR (Computer Vision),2013,"Fast, Accurate Detection of 100,000 Object Classes on a Single Machine","Thomas Dean, Google|; et al.|Mark A. Ruzon, Google|Mark Segal, Google|Jonathon Shlens, Google|Sudheendra Vijayanarasimhan, Google|Jay Yagnik, Google",https://www.semanticscholar.org/paper/774f67303ea4a3a94874f08cf9a9dacc69b40782,"Many object detection systems are constrained by the time required to convolve a target image with a bank of filters that code for different aspects of an object's appearance, such as the presence of component parts. We exploit locality-sensitive hashing to replace the dot-product kernel operator in the convolution with a fixed number of hash-table probes that effectively sample all of the filter responses in time independent of the size of the filter bank. To show the effectiveness of the technique, we apply it to evaluate 100,000 deformable-part models requiring over a million (part) filters on multiple scales of a target image in less than 20 seconds using a single multi-core processor with 20GB of RAM. This represents a speed-up of approximately 20,000 times - four orders of magnitude - when compared with performing the convolutions explicitly on the same hardware. While mean average precision over the full set of 100,000 object classes is around 0.16 due in large part to the challenges in gathering training data and collecting ground truth for so many classes, we achieve a mAP of at least 0.20 on a third of the classes and 0.30 or better on about 20% of the classes."
cvpr,CVPR (Computer Vision),2012,A Simple Prior-free Method for Non-Rigid Structure-from-Motion Factorization,"Yuchao Dai, Northwestern Polytechnical University|; et al.|Hongdong Li, Australian National University|Mingyi He, Northwestern Polytechnical University",https://www.semanticscholar.org/paper/c4eb1bbcc2c07db85f04af3572be8493bcea9d00,"This paper proposes a simple “prior-free” method for solving non-rigid structure-from-motion factorization problems. Other than using the basic low-rank condition, our method does not assume any extra prior knowledge about the nonrigid scene or about the camera motions. Yet, it runs reliably, produces optimal result, and does not suffer from the inherent basis-ambiguity issue which plagued many conventional nonrigid factorization techniques. Our method is easy to implement, which involves solving no more than an SDP (semi-definite programming) of small and fixed size, a linear Least-Squares or trace-norm minimization. Extensive experiments have demonstrated that it outperforms most of the existing linear methods of nonrigid factorization. This paper offers not only new theoretical insight, but also a practical, everyday solution, to non-rigid structure-from-motion."
cvpr,CVPR (Computer Vision),2011,Real-time Human Pose Recognition in Parts from Single Depth Images,"Jamie Shotton, Microsoft Research|; et al.|Andrew Fitzgibbon, Microsoft Research|Mat Cook, Microsoft Research|Toby Sharp, Microsoft Research|Mark Finocchio, Microsoft Research|Richard Moore, Microsoft Research|Alex Kipman, Microsoft Research|Andrew Blake, Microsoft Research",https://www.semanticscholar.org/paper/ee3157ce19551b62012ab7a27c164d6f30242076,"Semantic Scholar extracted view of ""Real-Time Human Pose Recognition in Parts from Single Depth Images"" by J. Shotton et al."
